dictionary_id,dataset_id,file_pattern,file_role,format,object_or_sheet,variable_name_or_pattern,description,data_type,unit_or_scale,allowed_values_or_range,missing_value_convention,spatial_support,temporal_support,source_or_provenance,source_url,generated_by,used_by,notes,verification_status
D0106,REACHES_CITY3_MEAN,Output/Intermediate/REACHES/reaches_kriging_city3_mean.csv OR Data/REACHES/precomputed/reaches_kriging_city3_mean.csv,generated/precomputed intermediate,CSV,,lat,Nominal GHCN station latitude.,numeric,decimal degrees north,,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,time-invariant,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0107,REACHES_CITY3_MEAN,Output/Intermediate/REACHES/reaches_kriging_city3_mean.csv OR Data/REACHES/precomputed/reaches_kriging_city3_mean.csv,generated/precomputed intermediate,CSV,,xYYYY,Direct kriging prediction mean for REACHES event year YYYY.,numeric,documentary index units,,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,REACHES event years within 1368–1911,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0108,REACHES_CITY3_SD,Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv OR Data/REACHES/precomputed/reaches_kriging_city3_sd.csv,generated/precomputed intermediate,CSV,,city,City identifier.,character,none,Beijing; Shanghai; HongKong,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,time-invariant label,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0109,REACHES_CITY3_SD,Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv OR Data/REACHES/precomputed/reaches_kriging_city3_sd.csv,generated/precomputed intermediate,CSV,,long,Nominal GHCN station longitude.,numeric,decimal degrees east,,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,time-invariant,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0110,REACHES_CITY3_SD,Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv OR Data/REACHES/precomputed/reaches_kriging_city3_sd.csv,generated/precomputed intermediate,CSV,,lat,Nominal GHCN station latitude.,numeric,decimal degrees north,,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,time-invariant,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0111,REACHES_CITY3_SD,Output/Intermediate/REACHES/reaches_kriging_city3_sd.csv OR Data/REACHES/precomputed/reaches_kriging_city3_sd.csv,generated/precomputed intermediate,CSV,,xYYYY,Direct kriging prediction standard deviation for REACHES event year YYYY.,numeric,documentary index units,,No value for non-event-year columns because those columns are absent,nominal GHCN station coordinate,REACHES event years within 1368–1911,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure3.R; Figure7-8.R; Figure9d.R,"The SD file contains standard deviations, not variances.",verified from current scripts
D0112,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,city,City identifier.,character,none,Beijing; Shanghai; HongKong,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0113,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,long,Target longitude.,numeric,decimal degrees east,,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0114,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,lat,Target latitude.,numeric,decimal degrees north,,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0115,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,coordinate_source,Source description for target coordinates.,character,none,GHCN nominal station coordinate,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0116,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,prediction_method,Method used to predict at the city coordinate.,character,none,direct interval-censored kriging,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0117,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,number_of_event_years,Number of REACHES event-year predictions.,integer,years,,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0118,REACHES_CITY3_METADATA,Output/Intermediate/REACHES/reaches_kriging_city3_metadata.csv,generated metadata,CSV,,elapsed_minutes,Elapsed runtime for three-city kriging.,numeric,minutes,,,three city target points,analysis-wide,Derived from REACHES and GHCN target coordinates,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,documentation and coordinate verification,,verified from current scripts
D0119,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,number_of_event_years,Number of REACHES event years.,integer,years,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0120,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,number_of_grid_locations,Number of regular-grid prediction locations.,integer,locations,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0121,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,number_of_lme_grid_locations,Number of native LME target locations.,integer,locations,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0122,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,number_of_city_locations,Number of city target locations.,integer,locations,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0123,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,city_coordinate_source,Description of city target-coordinate source.,character,none,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0124,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,city_prediction_method,Description of city prediction method.,character,none,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0125,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,process_variance,Calibrated latent process variance.,numeric,latent index squared,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0126,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,nugget_variance,Calibrated latent nugget variance.,numeric,latent index squared,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0127,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,total_variance,Sum of process and nugget variances.,numeric,latent index squared,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0128,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,range_km,Calibrated exponential covariance range.,numeric,kilometres,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0129,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,covariance_lookup_size,Number of entries in the covariance lookup grid.,integer,entries,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0130,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,elapsed_minutes,Elapsed runtime for regular-grid and LME-grid kriging.,numeric,minutes,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0131,REACHES_KRIGING_METADATA,Output/Intermediate/REACHES/reaches_kriging_metadata.csv OR Data/REACHES/precomputed/reaches_kriging_metadata.csv,generated/precomputed metadata,CSV,,city_kriging_elapsed_minutes,Elapsed runtime for exact-coordinate city kriging.,numeric,minutes,,,analysis-wide,analysis-wide,Derived from calibration and REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,Figure9d.R; Assimilation_grid.R; diagnostics,,verified from current scripts
D0132,REACHES_YEAR_DIAGNOSTICS,Output/Intermediate/REACHES/reaches_kriging_year_diagnostics.csv,generated diagnostic,CSV,,year,REACHES event year.,integer,Common Era year,,,all prediction targets for a year,REACHES event years,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,workflow diagnostics,,verified from current scripts
D0133,REACHES_YEAR_DIAGNOSTICS,Output/Intermediate/REACHES/reaches_kriging_year_diagnostics.csv,generated diagnostic,CSV,,number_of_observations,Number of source observations used for the year.,integer,records,,,all prediction targets for a year,REACHES event years,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,workflow diagnostics,,verified from current scripts
D0134,REACHES_YEAR_DIAGNOSTICS,Output/Intermediate/REACHES/reaches_kriging_year_diagnostics.csv,generated diagnostic,CSV,,numerical_jitter,Diagonal jitter added for numerical stabilization.,numeric,observed index squared,,,all prediction targets for a year,REACHES event years,Derived from REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Get_tempe_all_data.R,workflow diagnostics,,verified from current scripts
D0135,FIGURE6_ASSIGNMENTS,Output/Figure6/Figure6_cluster_assignments.csv,generated analysis output,CSV,,location_id,"Native LME location identifier, when available.",integer,none,,No missing values expected except location_id may be absent in fallback inputs,native LME grid location,cluster assignment over analysis period,Derived from kriged REACHES functional data,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,Code/Assimilation_grid.R; Code/Supplementary/FigureS5.R,,verified from current scripts
D0136,FIGURE6_ASSIGNMENTS,Output/Figure6/Figure6_cluster_assignments.csv,generated analysis output,CSV,,long,Longitude of the clustered location.,numeric,decimal degrees east,,No missing values expected except location_id may be absent in fallback inputs,native LME grid location,cluster assignment over analysis period,Derived from kriged REACHES functional data,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,Code/Assimilation_grid.R; Code/Supplementary/FigureS5.R,,verified from current scripts
D0137,FIGURE6_ASSIGNMENTS,Output/Figure6/Figure6_cluster_assignments.csv,generated analysis output,CSV,,lati,Latitude of the clustered location.,numeric,decimal degrees north,,No missing values expected except location_id may be absent in fallback inputs,native LME grid location,cluster assignment over analysis period,Derived from kriged REACHES functional data,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,Code/Assimilation_grid.R; Code/Supplementary/FigureS5.R,,verified from current scripts
D0138,FIGURE6_ASSIGNMENTS,Output/Figure6/Figure6_cluster_assignments.csv,generated analysis output,CSV,,original_mclust_component,Component label returned by mclust before geographic relabeling.,integer,none,"1,…,G",No missing values expected except location_id may be absent in fallback inputs,native LME grid location,cluster assignment over analysis period,Derived from kriged REACHES functional data,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,Code/Assimilation_grid.R; Code/Supplementary/FigureS5.R,,verified from current scripts
D0139,FIGURE6_ASSIGNMENTS,Output/Figure6/Figure6_cluster_assignments.csv,generated analysis output,CSV,,figure6_cluster,Cluster label used in Figure 6 and downstream supplementary analyses.,integer,none,1; 2; 3; 4,No missing values expected except location_id may be absent in fallback inputs,native LME grid location,cluster assignment over analysis period,Derived from kriged REACHES functional data,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,Code/Assimilation_grid.R; Code/Supplementary/FigureS5.R,,verified from current scripts
D0140,FIGURE6_BIC,Output/Figure6/Figure6_mclust_bic.csv,generated diagnostic,CSV,,number_of_clusters,Candidate number of mixture components.,integer,clusters,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,"For mclust BIC, larger values are preferred.",verified from current scripts
D0141,FIGURE6_BIC,Output/Figure6/Figure6_mclust_bic.csv,generated diagnostic,CSV,,model_name,mclust covariance-model name.,character,none,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,"For mclust BIC, larger values are preferred.",verified from current scripts
D0142,FIGURE6_BIC,Output/Figure6/Figure6_mclust_bic.csv,generated diagnostic,CSV,,BIC,Bayesian information criterion reported by mclust.,numeric,none,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,"For mclust BIC, larger values are preferred.",verified from current scripts
D0143,FIGURE6_SELECTION,Output/Figure6/Figure6_cluster_selection.csv,generated metadata,CSV,,cluster_selection_mode,Configured selection mode.,character,none,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,,verified from current scripts
D0144,FIGURE6_SELECTION,Output/Figure6/Figure6_cluster_selection.csv,generated metadata,CSV,,bic_selected_number_of_clusters,Number of clusters selected by BIC.,integer,clusters,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,,verified from current scripts
D0145,FIGURE6_SELECTION,Output/Figure6/Figure6_cluster_selection.csv,generated metadata,CSV,,figure_number_of_clusters,Number of clusters used in the final figure.,integer,clusters,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,,verified from current scripts
D0146,FIGURE6_SELECTION,Output/Figure6/Figure6_cluster_selection.csv,generated metadata,CSV,,selected_model_name,Selected mclust model name.,character,none,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,,verified from current scripts
D0147,FIGURE6_SELECTION,Output/Figure6/Figure6_cluster_selection.csv,generated metadata,CSV,,relabeling_rule,Description of the component-to-figure relabeling.,character,none,,,functional clustering model,analysis-wide,Derived from kriged REACHES,https://www.ncei.noaa.gov/access/paleo-search/study/37720,Code/Figure6.R,cluster-selection documentation,,verified from current scripts
D0148,PRIOR_PARAMETER_FILES,"Output/Intermediate/Prior/{mt,mu,rt}{B,S,H}.csv OR Data/par/{mt,mu,rt}{B,S,H}.csv",generated/precomputed intermediate,CSV,,year,Calendar year associated with the parameter estimate.,integer,Common Era year,M: 1368–1910; mu and r2: 1368–1911,No missing values expected,city-specific state-space prior,annual,Derived from city-specific LME ensemble series,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,Code/Figure9abc.R; Code/Figure9d.R,mt stores transition M_t; mu stores prior mean mu_t; rt stores innovation variance r_t^2.,verified from current scripts
D0149,PRIOR_PARAMETER_FILES,"Output/Intermediate/Prior/{mt,mu,rt}{B,S,H}.csv OR Data/par/{mt,mu,rt}{B,S,H}.csv",generated/precomputed intermediate,CSV,,coefficient,Estimation method represented by the row.,character,none,Penalized ML; ML,No missing values expected,city-specific state-space prior,annual,Derived from city-specific LME ensemble series,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,Code/Figure9abc.R; Code/Figure9d.R,mt stores transition M_t; mu stores prior mean mu_t; rt stores innovation variance r_t^2.,verified from current scripts
D0150,PRIOR_PARAMETER_FILES,"Output/Intermediate/Prior/{mt,mu,rt}{B,S,H}.csv OR Data/par/{mt,mu,rt}{B,S,H}.csv",generated/precomputed intermediate,CSV,,value,Estimated parameter value.,numeric,parameter-specific,,No missing values expected,city-specific state-space prior,annual,Derived from city-specific LME ensemble series,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,Code/Figure9abc.R; Code/Figure9d.R,mt stores transition M_t; mu stores prior mean mu_t; rt stores innovation variance r_t^2.,verified from current scripts
D0151,PRIOR_CV,"Output/Intermediate/Prior/prior_cv_{Beijing,Shanghai,HongKong}.csv",generated diagnostic,CSV,,city,City name.,character,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection diagnostics,,verified from current scripts
D0152,PRIOR_CV,"Output/Intermediate/Prior/prior_cv_{Beijing,Shanghai,HongKong}.csv",generated diagnostic,CSV,,lambda1,Candidate penalty for the first parameter sequence.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection diagnostics,,verified from current scripts
D0153,PRIOR_CV,"Output/Intermediate/Prior/prior_cv_{Beijing,Shanghai,HongKong}.csv",generated diagnostic,CSV,,lambda2,Candidate penalty for the second parameter sequence.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection diagnostics,,verified from current scripts
D0154,PRIOR_CV,"Output/Intermediate/Prior/prior_cv_{Beijing,Shanghai,HongKong}.csv",generated diagnostic,CSV,,lambda3,Candidate penalty for the third parameter sequence.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection diagnostics,,verified from current scripts
D0155,PRIOR_CV,"Output/Intermediate/Prior/prior_cv_{Beijing,Shanghai,HongKong}.csv",generated diagnostic,CSV,,CV,Mean leave-one-member-out cross-validation objective.,numeric,negative log-likelihood scale,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection diagnostics,,verified from current scripts
D0156,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,city,City name.,character,none,Beijing; Shanghai; HongKong,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0157,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda1,Selected first penalty.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0158,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda2,Selected second penalty.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0159,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda3,Selected third penalty.,numeric,none,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0160,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda1_on_grid_boundary,Whether lambda1 lies on a search-grid boundary.,logical,none,TRUE; FALSE,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0161,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda2_on_grid_boundary,Whether lambda2 lies on a search-grid boundary.,logical,none,TRUE; FALSE,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0162,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,lambda3_on_grid_boundary,Whether lambda3 lies on a search-grid boundary.,logical,none,TRUE; FALSE,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0163,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,CV,Cross-validation objective at selected penalties.,numeric,negative log-likelihood scale,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0164,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,iterations,Number of optimization iterations for the selected fit.,integer,iterations,,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0165,PRIOR_BEST_LAMBDAS,Output/Intermediate/Prior/prior_best_lambdas.csv,generated diagnostic,CSV,,converged,Convergence indicator for the selected fit.,logical,none,TRUE; FALSE,,city-specific LME ensemble,analysis-wide,Derived from CESM LME,https://www.cesm.ucar.edu/community-projects/lme,Code/Prior.R,penalty selection documentation,,verified from current scripts
D0166,CITY_ASSIMILATION,"Data/Valid/assimilation_{Beijing,Shanghai,HongKong}.csv",generated downstream data,CSV,,year,Calendar year.,integer,Common Era year,1368–1911,REACHES-specific fields are NA in prediction-only years; annual state fields should be complete,nominal GHCN station coordinate,annual,"Derived from REACHES, CESM LME, and city-specific prior estimates",,Code/Figure9d.R,Code/Figure10.R; Code/Supplementary/FigureS2.R,"City coordinates: Beijing (116.283, 39.933), Shanghai (121.433, 31.167), Hong Kong (114.167, 22.333).",verified from current scripts
D0167,CITY_ASSIMILATION,"Data/Valid/assimilation_{Beijing,Shanghai,HongKong}.csv",generated downstream data,CSV,,has_reaches_observation,Indicator that a documentary observation is available in the year.,logical,none,TRUE; FALSE,REACHES-specific fields are NA in prediction-only years; annual state fields should be complete,nominal GHCN station coordinate,annual,"Derived from REACHES, CESM LME, and city-specific prior estimates",,Code/Figure9d.R,Code/Figure10.R; Code/Supplementary/FigureS2.R,"City coordinates: Beijing (116.283, 39.933), Shanghai (121.433, 31.167), Hong Kong (114.167, 22.333).",verified from current scripts
D0168,CITY_ASSIMILATION,"Data/Valid/assimilation_{Beijing,Shanghai,HongKong}.csv",generated downstream data,CSV,,reaches_index_mean,Kriged REACHES latent/index-scale prediction mean.,numeric,documentary index units,,REACHES-specific fields are NA in prediction-only years; annual state fields should be complete,nominal GHCN station coordinate,REACHES event year,"Derived from REACHES, CESM LME, and city-specific prior estimates",,Code/Figure9d.R,Code/Figure10.R; Code/Supplementary/FigureS2.R,"City coordinates: Beijing (116.283, 39.933), Shanghai (121.433, 31.167), Hong Kong (114.167, 22.333).",verified from current scripts
D0169,CITY_ASSIMILATION,"Data/Valid/assimilation_{Beijing,Shanghai,HongKong}.csv",generated downstream data,CSV,,reaches_index_sd,Kriging prediction standard deviation.,numeric,documentary index units,>= 0,REACHES-specific fields are NA in prediction-only years; annual state fields should be complete,nominal GHCN station coordinate,REACHES event year,"Derived from REACHES, CESM LME, and city-specific prior estimates",,Code/Figure9d.R,Code/Figure10.R; Code/Supplementary/FigureS2.R,"City coordinates: Beijing (116.283, 39.933), Shanghai (121.433, 31.167), Hong Kong (114.167, 22.333).",verified from current scripts
D0170,CITY_ASSIMILATION,"Data/Valid/assimilation_{Beijing,Shanghai,HongKong}.csv",generated downstream data,CSV,,reaches_mspe,Kriging prediction variance / MSPE.,numeric,documentary index squared,>= 0,REACHES-specific fields are NA in prediction-only years; annual state fields should be complete,nominal GHCN station coordinate,REACHES event year,"Derived from REACHES, CESM LME, and city-specific prior estimates",,Code/Figure9d.R,Code/Figure10.R; Code/Supplementary/FigureS2.R,"City coordinates: Beijing (116.283, 39.933), Shanghai (121.433, 31.167), Hong Kong (114.167, 22.333).",verified from current scripts
